vertices,edges,time(ms),comparisons
100,300,0.392292,106
101,303,0.277125,111
102,306,0.272833,118
103,309,0.276125,119
104,312,0.176625,118
105,315,0.185625,126
106,318,0.227125,122
107,321,0.104375,116
108,324,0.081333,119
109,327,0.074625,121
110,330,0.085209,118
111,333,0.077875,126
112,336,0.095,121
113,339,0.064625,0
114,342,0.081709,139
115,345,0.084125,122
116,348,0.083792,133
117,351,0.088334,132
118,354,0.099458,126
119,357,0.157959,131
120,360,0.100417,132
121,363,0.097583,148
122,366,0.21075,134
123,369,0.100167,132
124,372,0.100291,141
125,375,0.285792,143
126,378,0.114042,137
127,381,0.105,142
128,384,0.110375,142
129,387,0.107958,145
130,390,0.109791,145
131,393,0.114708,148
132,396,0.113125,135
133,399,0.118917,155
134,402,0.115833,141
135,405,0.118625,147
136,408,0.257333,146
137,411,0.121375,159
138,414,0.126417,164
139,417,0.126458,150
140,420,0.124958,164
141,423,0.119625,172
142,426,0.10225,159
143,429,0.111083,151
144,432,0.106875,160
145,435,0.101542,149
146,438,0.081125,0
147,441,0.105958,157
148,444,0.105083,166
149,447,0.106458,168
150,450,0.107875,165
151,453,0.105959,165
152,456,0.126125,167
153,459,0.109792,171
154,462,0.108,176
155,465,0.109291,174
156,468,0.110083,184
157,471,0.118,165
158,474,0.117,172
159,477,0.085875,0
160,480,0.115833,177
161,483,0.113083,182
162,486,0.114625,174
163,489,0.115458,181
164,492,0.11825,184
165,495,0.117041,188
166,498,0.119417,198
167,501,0.0565,180
168,504,0.058042,191
169,507,0.059125,179
170,510,0.058083,187
171,513,0.060583,200
172,516,0.061958,186
173,519,0.061042,190
174,522,0.06575,194
175,525,0.062083,192
176,528,0.037166,0
177,531,0.065416,202
178,534,0.065417,209
179,537,0.0395,0
180,540,0.063208,198
181,543,0.067125,204
182,546,0.065667,185
183,549,0.069166,201
184,552,0.067333,200
185,555,0.070084,210
186,558,0.068459,210
187,561,0.070667,211
188,564,0.070458,205
189,567,0.071167,200
190,570,0.071666,217
191,573,0.073916,217
192,576,0.072583,211
193,579,0.072584,213
194,582,0.07325,218
195,585,0.075583,214
196,588,0.076333,224
197,591,0.078583,213
198,594,0.077166,226
199,597,0.079667,227
200,600,0.076375,210
